age,hsged,white,black,hispanic,native,asian,children,married,male,treatment,total_earn
29,0,0,1,0,0,0,1,0,0,0,14598
20,1,0,1,0,0,0,1,0,0,1,9822
20,1,0,1,0,0,0,1,0,0,1,35010
19,0,0,1,0,0,0,0,0,0,1,1459
29,1,0,0,1,0,0,0,0,1,0,9794
21,1,1,0,0,0,0,1,1,1,1,254
25,0,1,0,0,0,0,1,1,1,1,20609
22,1,0,0,1,0,0,1,0,0,0,37644
22,1,0,1,0,0,0,0,0,1,1,21219
48,1,1,0,0,0,0,0,0,0,0,9747
50,0,1,0,0,0,0,1,0,0,0,0
46,1,0,1,0,0,0,1,0,0,1,0
33,1,0,1,0,0,0,1,1,1,1,31196
24,0,0,1,0,0,0,1,0,0,0,34728
30,0,0,1,0,0,0,0,0,1,0,126
42,1,1,0,0,0,0,0,1,1,1,1763
21,1,0,0,1,0,0,1,0,0,1,5612
27,1,0,1,0,0,0,1,0,0,1,7028
22,0,0,0,1,0,0,1,0,1,1,4506
17,0,0,0,1,0,0,0,0,1,0,24315
33,0,1,0,0,0,0,0,0,1,1,2203
29,1,1,0,0,0,0,1,0,0,1,5475
38,1,0,1,0,0,0,0,0,1,1,8372
55,1,1,0,0,0,0,1,0,0,0,1109
38,1,0,0,1,0,0,0,0,1,0,75
21,0,1,0,0,0,0,0,0,1,1,41332
22,1,0,1,0,0,0,1,0,0,0,2787
37,0,0,0,0,0,1,1,1,0,1,8127
25,1,1,0,0,0,0,0,0,1,0,9579
25,0,1,0,0,0,0,1,1,1,0,26525
21,1,0,1,0,0,0,1,0,0,0,24761
23,1,0,1,0,0,0,0,0,1,1,8860
21,1,1,0,0,0,0,0,0,1,1,330
22,1,1,0,0,0,0,0,0,1,1,43596
32,0,0,1,0,0,0,0,0,1,1,48727
32,1,1,0,0,0,0,1,1,0,1,28029
29,0,0,1,0,0,0,0,1,1,1,56089
20,0,1,0,0,0,0,0,0,0,1,22797
52,1,1,0,0,0,0,0,0,1,1,16042
36,1,0,0,1,0,0,0,0,1,1,4310
37,1,0,1,0,0,0,1,0,0,1,23830
23,0,1,0,0,0,0,0,0,1,1,9962
23,0,1,0,0,0,0,0,0,1,1,14459
21,1,1,0,0,0,0,0,0,1,1,1932
21,1,0,1,0,0,0,0,0,1,0,0
29,1,1,0,0,0,0,0,0,0,0,3721
22,0,1,0,0,0,0,1,1,0,1,6261
20,0,1,0,0,0,0,0,0,0,1,19332
18,0,1,0,0,0,0,0,0,1,0,36928
18,1,0,1,0,0,0,0,0,0,0,11540
19,1,0,0,0,0,1,0,0,1,1,0
24,1,1,0,0,0,0,0,0,1,0,35676
25,1,1,0,0,0,0,1,0,0,1,9003
29,0,0,1,0,0,0,0,0,1,0,24135
25,0,1,0,0,0,0,1,1,1,0,2612
22,1,1,0,0,0,0,0,0,1,1,698
23,0,1,0,0,0,0,1,1,0,1,141
32,1,0,1,0,0,0,1,1,1,1,34593
29,1,0,1,0,0,0,0,0,1,0,17171
27,1,1,0,0,0,0,0,0,1,0,252
20,0,0,1,0,0,0,0,0,0,1,17918
22,0,1,0,0,0,0,1,0,1,0,0
24,0,1,0,0,0,0,0,0,1,1,0
22,0,1,0,0,0,0,0,1,1,1,27431
75,0,1,0,0,0,0,0,0,0,0,0
20,0,1,0,0,0,0,0,0,1,0,30207
33,1,1,0,0,0,0,0,0,1,1,30
18,0,0,0,1,0,0,0,0,1,1,12994
39,1,1,0,0,0,0,0,0,0,1,1929
37,0,1,0,0,0,0,0,0,1,1,0
19,1,1,0,0,0,0,0,0,0,0,14603
19,1,1,0,0,0,0,0,0,0,1,57747
25,1,1,0,0,0,0,1,0,0,0,19344
22,0,0,0,1,0,0,1,0,0,1,3900
28,1,0,1,0,0,0,1,0,0,1,47184
34,1,0,0,0,1,0,0,0,1,0,1008
17,0,1,0,0,0,0,0,0,1,1,6768
20,0,0,1,0,0,0,1,0,0,0,4894
24,0,1,0,0,0,0,1,1,1,1,45677
25,0,1,0,0,0,0,0,0,0,1,22026
18,0,0,1,0,0,0,1,0,0,1,600
20,1,0,0,1,0,0,1,0,0,1,684
19,1,1,0,0,0,0,0,1,1,0,0
25,0,0,1,0,0,0,1,1,1,1,19501
19,1,1,0,0,0,0,0,0,1,0,16670
32,1,1,0,0,0,0,1,1,1,0,60007
21,1,0,0,1,0,0,0,0,1,1,0
43,0,1,0,0,0,0,0,0,1,0,13383
24,1,1,0,0,0,0,0,0,1,1,42547
25,1,1,0,0,0,0,0,0,1,1,9285
21,0,0,0,1,0,0,0,0,0,0,11058
26,1,0,1,0,0,0,0,0,1,1,2769
20,0,1,0,0,0,0,0,0,0,0,20105
24,0,1,0,0,0,0,0,0,0,0,22820
29,0,1,0,0,0,0,0,0,1,0,6119
54,0,1,0,0,0,0,0,1,1,0,8952
32,1,1,0,0,0,0,1,1,0,1,8244
30,0,1,0,0,0,0,0,0,1,1,11797
20,0,1,0,0,0,0,1,1,1,0,23555
32,0,1,0,0,0,0,1,0,0,0,6432
38,0,0,0,0,0,1,1,1,0,1,0
22,0,0,1,0,0,0,1,0,0,1,0
18,1,0,1,0,0,0,0,0,1,1,5953
17,0,0,1,0,0,0,1,0,0,0,0
29,1,1,0,0,0,0,1,1,0,1,20014
20,1,1,0,0,0,0,0,0,0,1,16753
30,1,0,0,1,0,0,1,1,1,1,26700
22,0,1,0,0,0,0,0,0,1,1,51495
19,0,1,0,0,0,0,0,0,1,1,1598
78,1,1,0,0,0,0,0,1,1,1,13500
41,0,1,0,0,0,0,1,1,0,1,2874
27,0,1,0,0,0,0,0,0,1,1,45968
23,1,0,0,1,0,0,1,1,1,0,29458
20,0,1,0,0,0,0,0,0,0,0,47437
32,0,1,0,0,0,0,1,0,0,1,43734
36,1,0,0,1,0,0,0,0,1,0,83989
24,0,1,0,0,0,0,1,1,1,1,4881
41,1,1,0,0,0,0,1,1,1,0,0
53,1,1,0,0,0,0,0,0,0,0,0
18,0,0,1,0,0,0,0,0,0,1,0
23,0,1,0,0,0,0,1,1,0,1,40305
20,1,0,1,0,0,0,1,0,0,0,5426
21,1,0,0,1,0,0,1,1,0,0,3972
23,1,0,1,0,0,0,1,0,1,1,225
19,0,1,0,0,0,0,1,0,0,0,0
74,0,1,0,0,0,0,0,1,1,0,2824
30,0,0,1,0,0,0,1,0,0,0,10371
18,1,0,1,0,0,0,0,0,0,0,11306
34,1,0,0,1,0,0,1,0,0,1,25585
21,1,1,0,0,0,0,0,1,1,1,20097
41,0,0,0,1,0,0,1,1,1,1,17470
20,0,0,1,0,0,0,0,0,1,0,19629
38,0,0,0,0,1,0,1,0,0,1,0
19,0,1,0,0,0,0,0,0,1,0,12526
17,0,1,0,0,0,0,0,0,1,1,10168
18,1,1,0,0,0,0,0,0,0,1,22626
38,0,1,0,0,0,0,1,0,0,0,62424
63,0,1,0,0,0,0,0,1,1,1,0
17,0,0,0,1,0,0,0,0,1,1,0
28,0,0,1,0,0,0,0,0,1,1,0
27,1,0,1,0,0,0,0,0,1,1,4302
27,1,1,0,0,0,0,1,0,0,1,26214
22,1,0,0,1,0,0,1,1,0,0,17943
18,0,1,0,0,0,0,1,0,0,0,25376
40,1,1,0,0,0,0,0,0,1,0,0
39,0,1,0,0,0,0,1,0,0,1,12586
54,0,0,0,0,1,0,0,0,1,1,5637
19,1,0,1,0,0,0,1,0,0,0,28913
68,0,1,0,0,0,0,0,1,0,0,1935
26,1,1,0,0,0,0,0,0,1,1,5992
42,0,1,0,0,0,0,0,0,1,0,2993
41,1,1,0,0,0,0,0,0,1,0,0
34,0,1,0,0,0,0,1,1,0,1,22614
37,0,1,0,0,0,0,1,1,0,1,30894
17,0,1,0,0,0,0,1,0,1,0,36313
32,1,1,0,0,0,0,1,0,0,1,22636
37,1,1,0,0,0,0,1,1,0,1,22895
31,0,0,1,0,0,0,1,1,0,1,9343
54,1,1,0,0,0,0,0,0,0,1,17181
21,0,1,0,0,0,0,0,0,0,1,2187
32,1,1,0,0,0,0,1,1,0,1,1611
23,0,1,0,0,0,0,1,0,0,0,1455
24,0,1,0,0,0,0,0,0,1,1,14757
38,1,0,1,0,0,0,1,0,0,1,0
26,0,1,0,0,0,0,0,0,1,1,11636
34,1,0,0,0,1,0,1,0,0,1,201
28,1,0,1,0,0,0,0,0,1,1,17739
39,0,1,0,0,0,0,0,0,1,0,8284
21,1,0,1,0,0,0,1,0,0,0,1957
67,1,1,0,0,0,0,0,1,0,1,0
28,1,1,0,0,0,0,1,0,0,1,31312
35,1,0,1,0,0,0,0,0,1,1,17038
20,0,1,0,0,0,0,1,0,0,1,1182
20,1,0,1,0,0,0,1,0,0,1,825
37,1,1,0,0,0,0,0,0,1,1,325
31,1,1,0,0,0,0,1,1,1,1,17160
34,1,1,0,0,0,0,0,0,1,0,7551
39,0,0,1,0,0,0,1,0,0,1,15
17,0,0,1,0,0,0,0,0,1,1,6479
27,0,1,0,0,0,0,1,0,1,1,4939
40,0,1,0,0,0,0,1,1,1,0,1956
18,0,0,1,0,0,0,1,0,0,1,5661
24,0,0,1,0,0,0,1,0,0,1,0
23,1,1,0,0,0,0,0,0,1,1,4446
19,1,1,0,0,0,0,0,0,1,0,4347
19,1,0,1,0,0,0,0,0,1,1,2961
27,0,1,0,0,0,0,1,1,1,1,9449
30,0,1,0,0,0,0,1,0,0,0,15361
28,1,1,0,0,0,0,1,1,0,1,27546
18,1,0,1,0,0,0,0,0,1,1,42591
24,1,0,1,0,0,0,0,0,1,1,14295
26,1,0,0,1,0,0,1,1,1,0,57159
39,0,0,1,0,0,0,1,0,0,0,285
32,0,1,0,0,0,0,0,0,1,1,7898
60,1,1,0,0,0,0,0,0,0,0,34745
20,1,1,0,0,0,0,1,0,0,1,863
27,1,1,0,0,0,0,1,1,0,1,247
17,0,1,0,0,0,0,0,0,0,0,1570
23,1,0,1,0,0,0,1,0,0,0,22289
18,0,0,0,1,0,0,0,0,0,1,522
24,1,0,1,0,0,0,0,0,1,1,700
46,0,1,0,0,0,0,1,0,0,0,16977
30,0,1,0,0,0,0,1,1,0,1,19416
17,0,1,0,0,0,0,0,0,1,0,4933
41,1,1,0,0,0,0,1,1,1,1,35986
19,0,1,0,0,0,0,0,0,1,1,12598
26,0,0,0,1,0,0,0,0,1,1,21561
29,1,1,0,0,0,0,1,1,0,1,4968
42,0,0,0,1,0,0,1,0,0,0,13367
28,1,1,0,0,0,0,1,0,0,1,15471
34,1,0,1,0,0,0,1,1,1,1,6489
20,0,1,0,0,0,0,0,0,1,1,32042
17,0,1,0,0,0,0,1,0,0,1,2277
27,1,1,0,0,0,0,1,1,0,0,337
30,1,0,1,0,0,0,1,1,1,1,510
37,1,1,0,0,0,0,0,0,1,1,62715
32,1,0,0,0,0,1,0,0,1,1,0
25,0,1,0,0,0,0,0,0,0,1,56963
31,1,0,1,0,0,0,0,1,1,1,4998
21,1,0,1,0,0,0,1,0,0,0,33451
35,0,0,0,0,0,1,1,1,0,1,0
48,0,1,0,0,0,0,1,1,1,1,43748
30,0,0,0,1,0,0,1,1,0,1,2613
24,0,1,0,0,0,0,1,0,0,1,14145
25,1,1,0,0,0,0,0,0,0,0,9755
20,0,0,0,1,0,0,1,1,0,1,0
33,1,1,0,0,0,0,0,1,1,1,14529
19,1,1,0,0,0,0,0,0,0,1,32630
21,1,0,1,0,0,0,1,0,0,0,5129
22,0,0,1,0,0,0,0,0,0,1,13346
34,0,1,0,0,0,0,1,1,0,0,12773
22,1,0,1,0,0,0,1,0,0,1,2115
34,0,0,1,0,0,0,0,0,1,0,0
35,1,1,0,0,0,0,0,0,1,0,150
27,0,0,1,0,0,0,1,0,0,1,28249
27,1,1,0,0,0,0,1,1,0,1,2865
18,0,0,0,1,0,0,0,0,0,0,32568
26,1,1,0,0,0,0,1,0,0,0,447
31,0,1,0,0,0,0,1,0,0,0,960
30,0,1,0,0,0,0,0,0,1,1,375
28,1,0,1,0,0,0,0,0,1,1,2359
29,1,1,0,0,0,0,0,0,0,0,22530
20,0,1,0,0,0,0,0,0,0,0,4638
37,1,1,0,0,0,0,0,0,0,1,13280
19,0,1,0,0,0,0,0,0,1,0,6668
40,0,1,0,0,0,0,1,1,1,0,690
31,1,1,0,0,0,0,1,1,0,1,15492
46,1,0,0,1,0,0,1,1,1,1,1215
23,0,0,1,0,0,0,1,1,0,0,395
33,0,1,0,0,0,0,1,0,0,1,39360
36,0,0,1,0,0,0,1,1,0,0,1938
18,0,1,0,0,0,0,1,0,0,1,7347
34,1,1,0,0,0,0,0,0,0,1,12845
31,1,1,0,0,0,0,1,0,0,1,634
23,1,0,1,0,0,0,1,0,0,0,3846
41,0,0,0,1,0,0,1,1,0,0,23628
40,1,1,0,0,0,0,0,0,1,1,42923
24,1,0,1,0,0,0,0,0,0,1,0
34,1,1,0,0,0,0,1,1,0,1,0
26,1,1,0,0,0,0,1,1,1,1,56776
39,1,1,0,0,0,0,1,0,0,1,24524
18,0,1,0,0,0,0,0,0,0,1,14649
27,0,1,0,0,0,0,0,0,1,0,87243
26,0,0,0,1,0,0,0,0,1,1,30747
24,0,1,0,0,0,0,0,0,1,0,0
17,0,0,0,1,0,0,0,0,1,0,18539
44,1,0,0,1,0,0,1,1,1,1,62364
32,0,1,0,0,0,0,1,0,0,1,2614
36,0,1,0,0,0,0,1,1,0,1,0
20,1,0,1,0,0,0,1,0,0,0,0
16,0,1,0,0,0,0,0,0,0,0,3299
28,0,0,1,0,0,0,1,1,1,1,31357
28,1,0,0,1,0,0,0,0,1,0,17194
23,0,0,1,0,0,0,1,0,0,1,1087
22,1,1,0,0,0,0,1,1,0,1,90
22,1,0,1,0,0,0,0,0,1,0,861
34,0,1,0,0,0,0,1,1,1,1,49490
25,1,0,0,0,1,0,0,0,1,0,5199
18,0,1,0,0,0,0,0,0,0,1,843
25,0,0,0,1,0,0,1,0,0,1,15366
19,0,0,1,0,0,0,1,0,0,0,0
34,0,1,0,0,0,0,0,0,1,1,14132
30,0,0,1,0,0,0,1,0,0,0,1142
21,0,0,0,1,0,0,0,0,0,1,32642
40,0,0,0,1,0,0,1,0,0,1,2260
17,1,0,1,0,0,0,0,0,0,0,13578
26,0,1,0,0,0,0,1,1,1,1,51183
37,0,1,0,0,0,0,1,1,1,0,45354
20,0,1,0,0,0,0,1,0,0,1,102
17,0,1,0,0,0,0,0,0,1,0,366
21,1,0,1,0,0,0,0,0,1,1,34463
22,0,1,0,0,0,0,1,1,0,1,0
17,0,0,1,0,0,0,0,0,0,1,143
30,0,1,0,0,0,0,1,1,1,1,79278
28,0,1,0,0,0,0,0,1,1,1,69042
44,0,1,0,0,0,0,1,0,0,0,0
22,1,1,0,0,0,0,0,0,1,0,22437
61,1,1,0,0,0,0,0,1,1,1,34373
26,1,0,1,0,0,0,0,0,1,1,3379
28,1,1,0,0,0,0,1,1,0,0,2036
20,1,0,1,0,0,0,1,0,1,1,20103
38,1,0,0,0,1,0,0,0,1,1,25767
30,0,0,1,0,0,0,0,0,1,1,24888
30,1,0,1,0,0,0,1,0,0,0,75
19,1,0,1,0,0,0,0,0,0,1,11772
46,0,0,1,0,0,0,1,1,0,1,20058
16,0,1,0,0,0,0,0,0,1,1,33080
27,1,1,0,0,0,0,0,1,1,1,3594
44,1,1,0,0,0,0,0,0,1,1,24606
47,1,0,1,0,0,0,1,0,0,0,18975
56,0,0,0,1,0,0,0,0,0,1,0
22,0,0,1,0,0,0,1,0,0,1,20751
20,0,0,1,0,0,0,1,0,0,0,8916
29,0,0,1,0,0,0,1,0,0,1,15302
21,0,1,0,0,0,0,0,0,0,0,421
19,0,1,0,0,0,0,1,1,0,0,0
28,0,1,0,0,0,0,0,0,0,1,11115
23,1,0,1,0,0,0,1,0,0,0,306
44,0,1,0,0,0,0,0,0,0,1,17127
33,1,1,0,0,0,0,1,0,0,1,18374
22,1,1,0,0,0,0,1,0,1,0,68820
23,0,0,0,0,0,1,1,1,0,1,0
19,0,0,0,1,0,0,0,0,1,0,7999
35,1,0,1,0,0,0,1,0,0,0,38945
23,1,0,1,0,0,0,0,0,0,0,28804
27,1,0,0,0,0,1,1,1,0,1,14625
39,1,1,0,0,0,0,0,0,1,0,46253
31,1,0,1,0,0,0,1,0,0,0,26040
39,1,1,0,0,0,0,0,0,1,1,41031
21,1,1,0,0,0,0,0,0,1,1,2208
18,0,1,0,0,0,0,0,1,0,1,9672
28,0,0,0,1,0,0,0,0,0,1,8775
31,0,1,0,0,0,0,1,1,1,1,321
35,0,1,0,0,0,0,1,1,1,1,30837
23,0,0,0,0,0,1,0,0,1,0,954
24,1,1,0,0,0,0,0,0,0,0,5737
39,0,1,0,0,0,0,1,1,1,1,82217
18,0,1,0,0,0,0,0,0,1,1,12687
38,1,0,1,0,0,0,0,0,1,1,21616
29,1,1,0,0,0,0,0,1,1,1,80166
29,0,0,0,1,0,0,1,0,0,1,0
28,1,0,1,0,0,0,1,0,0,1,6821
21,0,1,0,0,0,0,0,0,1,0,10875
30,1,1,0,0,0,0,0,0,0,0,18501
19,0,0,1,0,0,0,0,0,1,1,33289
25,0,0,1,0,0,0,1,1,0,1,0
52,1,1,0,0,0,0,1,0,0,0,16332
39,0,1,0,0,0,0,0,0,0,0,29452
32,1,0,1,0,0,0,1,1,0,1,6965
20,0,0,1,0,0,0,1,0,0,1,14768
34,0,1,0,0,0,0,1,0,1,1,1596
35,0,1,0,0,0,0,1,0,0,1,34612
32,0,1,0,0,0,0,1,1,0,0,12249
23,1,0,1,0,0,0,1,0,0,1,1565
19,0,1,0,0,0,0,0,0,0,1,4336
34,1,1,0,0,0,0,0,0,1,0,0
24,1,0,1,0,0,0,1,1,0,1,2322
33,0,0,0,1,0,0,0,0,1,1,36201
26,0,1,0,0,0,0,1,1,1,1,6747
39,0,1,0,0,0,0,1,1,0,0,0
26,0,1,0,0,0,0,0,0,1,1,2806
29,1,0,1,0,0,0,1,0,0,1,15484
26,0,1,0,0,0,0,1,1,1,1,48553
33,1,0,0,0,1,0,1,0,0,1,978
31,0,1,0,0,0,0,1,1,1,1,38743
16,0,1,0,0,0,0,0,0,1,0,15075
33,1,0,1,0,0,0,1,0,0,1,0
19,1,1,0,0,0,0,0,0,1,1,10701
27,1,0,1,0,0,0,1,1,1,1,24468
37,0,1,0,0,0,0,1,0,0,1,18147
32,0,0,1,0,0,0,1,1,1,0,13874
29,1,1,0,0,0,0,1,1,1,1,13419
33,0,0,1,0,0,0,1,0,0,0,20442
20,1,0,0,1,0,0,0,0,1,1,14936
63,0,1,0,0,0,0,0,0,0,1,5311
32,0,1,0,0,0,0,0,0,1,1,4593
21,1,1,0,0,0,0,0,0,1,0,3795
26,0,1,0,0,0,0,1,1,0,1,254
25,0,1,0,0,0,0,0,0,1,1,2108
19,1,0,0,1,0,0,1,0,0,1,3063
29,1,0,1,0,0,0,0,0,1,0,11010
23,0,1,0,0,0,0,1,1,1,1,56087
35,1,1,0,0,0,0,1,0,0,0,25401
24,0,1,0,0,0,0,0,1,1,1,23453
18,0,0,0,1,0,0,0,0,0,1,23857
30,0,1,0,0,0,0,1,0,0,1,10101
43,1,1,0,0,0,0,1,0,0,1,18009
20,1,1,0,0,0,0,0,0,0,0,6570
20,1,0,1,0,0,0,0,0,0,1,11514
28,1,1,0,0,0,0,1,0,0,1,8945
17,1,0,1,0,0,0,0,0,0,1,35794
24,1,1,0,0,0,0,1,0,0,1,5952
28,0,1,0,0,0,0,1,0,0,1,16689
34,0,0,1,0,0,0,1,0,0,0,0
21,0,1,0,0,0,0,0,1,1,1,21167
44,1,0,0,1,0,0,1,1,0,0,6180
20,0,0,1,0,0,0,0,0,1,1,16083
36,0,1,0,0,0,0,1,0,0,0,0
27,1,1,0,0,0,0,1,1,0,0,2577
49,0,0,0,1,0,0,1,0,0,1,24536
35,1,0,1,0,0,0,1,0,0,0,39888
23,0,1,0,0,0,0,1,0,0,1,51060
22,1,1,0,0,0,0,1,0,0,1,28804
17,0,1,0,0,0,0,0,0,1,0,12498
33,0,0,1,0,0,0,1,1,1,1,13812
27,1,1,0,0,0,0,1,0,0,1,25700
29,0,1,0,0,0,0,1,1,1,1,14291
44,0,1,0,0,0,0,1,0,0,1,588
53,0,1,0,0,0,0,0,0,0,1,16919
32,1,1,0,0,0,0,0,0,1,1,45958
17,0,1,0,0,0,0,0,0,1,0,5253
25,1,1,0,0,0,0,1,0,0,1,17289
43,0,1,0,0,0,0,1,0,0,1,29797
18,0,0,0,1,0,0,1,0,0,1,47
19,0,0,1,0,0,0,1,0,1,0,13975
23,1,1,0,0,0,0,1,1,0,1,16417
30,0,0,1,0,0,0,0,0,1,1,39570
33,0,0,0,1,0,0,0,0,1,1,18598
48,1,1,0,0,0,0,0,0,1,1,0
37,0,0,0,1,0,0,1,0,0,0,8717
42,1,0,1,0,0,0,1,0,0,1,12615
20,1,1,0,0,0,0,0,0,0,1,14494
41,0,1,0,0,0,0,0,1,1,1,9219
19,0,1,0,0,0,0,1,0,0,0,0
19,0,0,0,1,0,0,0,0,1,0,17015
20,0,1,0,0,0,0,1,0,0,1,11410
37,1,0,0,1,0,0,1,1,1,1,8513
25,0,0,1,0,0,0,1,0,0,1,18501
19,1,1,0,0,0,0,1,0,0,1,2146
19,0,1,0,0,0,0,1,0,1,1,26147
72,0,1,0,0,0,0,0,1,1,0,4614
27,1,1,0,0,0,0,0,0,1,1,83490
25,0,1,0,0,0,0,0,0,1,0,41690
40,0,1,0,0,0,0,1,1,0,1,23765
19,0,1,0,0,0,0,0,0,0,1,0
26,1,0,1,0,0,0,0,0,1,1,6930
30,0,0,1,0,0,0,0,0,1,0,10953
25,0,1,0,0,0,0,1,0,0,0,26475
35,1,0,1,0,0,0,0,0,1,1,40629
45,0,0,1,0,0,0,1,0,0,1,26037
51,0,1,0,0,0,0,0,0,1,0,10350
31,1,1,0,0,0,0,1,1,0,1,960
38,0,1,0,0,0,0,0,1,1,0,24333
29,1,0,1,0,0,0,0,0,1,1,10652
29,0,1,0,0,0,0,1,0,0,1,21175
27,1,1,0,0,0,0,1,1,0,0,11117
34,1,1,0,0,0,0,0,0,1,1,61813
48,0,0,1,0,0,0,0,0,1,1,3732
41,0,1,0,0,0,0,0,0,1,1,60
29,1,0,0,1,0,0,1,0,0,0,27660
35,0,0,0,1,0,0,1,1,0,1,45400
16,0,1,0,0,0,0,0,0,1,1,31024
21,1,0,1,0,0,0,1,0,0,1,22819
16,0,1,0,0,0,0,1,0,0,0,9798
38,1,1,0,0,0,0,1,1,0,0,26314
21,0,1,0,0,0,0,1,0,1,1,34274
24,0,0,1,0,0,0,0,0,0,1,3330
19,0,1,0,0,0,0,0,0,1,1,35306
23,0,1,0,0,0,0,1,1,0,1,31957
21,1,1,0,0,0,0,0,0,1,1,24240
31,1,1,0,0,0,0,1,1,1,0,34531
27,0,0,1,0,0,0,0,0,1,1,15218
32,1,0,1,0,0,0,1,0,0,1,22662
22,1,1,0,0,0,0,0,0,1,1,7501
40,0,1,0,0,0,0,1,1,0,0,7838
33,0,0,1,0,0,0,0,0,1,1,0
33,0,1,0,0,0,0,1,0,1,0,18101
37,0,0,0,0,1,0,1,1,0,1,0
35,1,1,0,0,0,0,1,0,0,1,1839
43,0,1,0,0,0,0,0,0,0,1,567
51,0,1,0,0,0,0,1,0,0,1,21569
29,0,0,1,0,0,0,1,1,1,1,24138
27,1,0,1,0,0,0,0,0,0,1,62019
36,1,1,0,0,0,0,1,0,0,1,12597
19,1,0,0,0,1,0,0,0,0,1,1510
27,1,1,0,0,0,0,1,0,0,1,39383
36,0,1,0,0,0,0,0,0,1,0,1779
38,0,1,0,0,0,0,1,0,0,0,23466
30,0,1,0,0,0,0,0,0,0,1,22411
30,1,1,0,0,0,0,1,0,0,1,0
37,1,0,1,0,0,0,0,0,1,0,8315
40,1,1,0,0,0,0,1,1,1,0,18615
21,1,0,1,0,0,0,1,0,0,1,10450
31,0,0,0,1,0,0,0,0,1,1,25669
28,1,1,0,0,0,0,0,0,1,0,29961
34,1,1,0,0,0,0,0,0,0,1,23832
42,1,1,0,0,0,0,1,1,1,0,1971
30,0,1,0,0,0,0,1,0,0,1,981
24,1,1,0,0,0,0,1,0,1,1,47142
26,0,1,0,0,0,0,1,1,1,1,15438
44,1,1,0,0,0,0,1,1,1,1,63075
34,0,0,0,1,0,0,1,1,1,0,0
36,0,1,0,0,0,0,1,0,0,1,5376
19,1,1,0,0,0,0,1,0,0,0,25941
32,1,1,0,0,0,0,1,0,0,1,10185
40,0,1,0,0,0,0,1,1,1,1,60033
27,1,1,0,0,0,0,1,0,0,1,17863
37,1,0,1,0,0,0,0,0,0,1,150
24,1,0,1,0,0,0,0,0,1,1,28847
21,1,0,1,0,0,0,1,0,0,0,2880
17,0,0,0,1,0,0,0,0,1,0,0
19,1,1,0,0,0,0,0,0,1,0,3851
19,0,1,0,0,0,0,0,0,1,1,6894
18,0,0,0,1,0,0,1,0,0,1,12930
28,0,1,0,0,0,0,0,0,0,1,28314
39,1,1,0,0,0,0,0,0,1,0,15850
31,0,1,0,0,0,0,1,0,0,0,4772
25,1,0,0,1,0,0,1,0,0,1,17976
20,0,0,1,0,0,0,0,0,1,1,40033
17,1,1,0,0,0,0,0,0,0,1,5640
22,0,1,0,0,0,0,1,0,0,1,23437
24,0,1,0,0,0,0,1,1,1,1,11383
16,0,1,0,0,0,0,1,0,1,0,9845
24,1,0,1,0,0,0,0,0,1,1,15487
41,0,1,0,0,0,0,1,1,0,1,17413
